pixel,intensity
1243,1.32
1242,1.32
1241,1.32
1240,1.32
1239,0.0
1238,0.0
1237,0.0
1236,4.0
1235,4.0
1234,0.0
1233,0.0
1232,0.0
1231,4.62
1230,4.62
1229,3.9600000000000004
1228,1.0
1227,0.0
1226,0.0
1225,0.0
1224,0.0
1223,3.0
1222,4.0
1221,6.0
1220,7.300000000000001
1219,3.3000000000000003
1218,3.3000000000000003
1217,3.3000000000000003
1216,9.940000000000001
1215,7.260000000000001
1214,7.260000000000001
1213,4.62
1212,4.62
1211,1.32
1210,1.32
1209,1.32
1208,1.32
1207,1.32
1206,1.32
1205,1.32
1204,1.32
1203,1.98
1202,2.6399999999999997
1201,2.6399999999999997
1200,2.6399999999999997
1199,2.64
1198,2.64
1197,2.64
1196,2.64
1195,4.32
1194,5.32
1193,5.32
1192,5.32
1191,3.64
1190,8.96
1189,13.96
1188,14.96
1187,9.92
1186,6.94
1185,7.6000000000000005
1184,9.600000000000001
1183,8.0
1182,9.0
1181,9.0
1180,8.0
1179,6.0
1178,4.0
1177,2.0
1176,2.0
1175,9.0
1174,9.0
1173,9.98
1172,11.96
1171,11.96
1170,10.96
1169,9.96
1168,8.96
1167,12.64
1166,10.64
1165,7.3
1164,5.98
1163,1.34
1162,3.34
1161,4.68
1160,4.68
1159,6.0
1158,4.0
1157,2.0
1156,3.0
1155,4.0
1154,6.0
1153,4.0
1152,2.0
1151,6.01
1150,7.0
1149,8.0
1148,15.0
1147,14.0
1146,4.0
1145,3.0
1144,2.97
1143,5.61
1142,5.94
1141,10.27
1140,9.58
1139,9.24
1138,9.57
1137,6.930000000000001
1136,7.260000000000001
1135,11.92
1134,10.92
1133,11.920000000000002
1132,11.920000000000002
1131,11.920000000000002
1130,9.96
1129,9.66
1128,10.0
1127,10.0
1126,10.0
1125,10.0
1124,10.96
1123,13.64
1122,15.98
1121,18.32
1120,20.32
1119,23.29
1118,21.29
1117,18.29
1116,15.96
1115,15.96
1114,17.98
1113,21.32
1112,23.32
1111,21.67
1110,22.04
1109,22.38
1108,21.38
1107,19.38
1106,18.72
1105,18.72
1104,17.72
1103,12.059999999999999
1102,9.39
1101,9.39
1100,9.39
1099,13.059999999999999
1098,14.059999999999999
1097,12.059999999999999
1096,11.059999999999999
1095,19.03
1094,19.7
1093,21.03
1092,22.37
1091,25.37
1090,25.7
1089,27.37
1088,28.37
1087,33.03
1086,28.02
1085,25.0
1084,25.0
1083,32.0
1082,37.0
1081,42.0
1080,47.33
1079,43.99
1078,42.32
1077,42.63
1076,41.940000000000005
1075,42.940000000000005
1074,41.27
1073,36.6
1072,32.580000000000005
1071,32.37
1070,27.369999999999997
1069,20.369999999999997
1068,21.71
1067,25.04
1066,30.04
1065,29.04
1064,25.369999999999997
1063,26.04
1062,31.049999999999997
1061,38.41
1060,48.089999999999996
1059,52.76
1058,53.43
1057,51.43
1056,51.79
1055,52.14
1054,50.480000000000004
1053,59.82000000000001
1052,81.78999999999999
1051,103.13
1050,113.16
1049,115.14000000000001
1048,118.81000000000002
1047,134.53
1046,130.56
1045,122.61
1044,128.0
1043,141.73
1042,149.77
1041,165.8
1040,197.14000000000004
1039,218.87
1038,250.28000000000003
1037,267.96000000000004
1036,283.73
1035,313.13
1034,331.15999999999997
1033,363.6
1032,414.65000000000003
1031,464.99000000000007
1030,503.99
1029,593.8600000000001
1028,660.2500000000001
1027,755.71
1026,800.9100000000001
1025,803.13
1024,782.31
1023,796.9700000000001
1022,775.85
1021,772.4599999999999
1020,724.5999999999999
1019,643.74
1018,557.46
1017,440.85
1016,311.56
1015,250.45999999999998
1014,227.49
1013,205.28
1012,189.80000000000004
1011,165.01
1010,147.86
1009,136.35
1008,123.74
1007,107.28000000000002
1006,102.28000000000002
1005,101.30000000000001
1004,102.32
1003,102.67
1002,98.33999999999999
1001,104.68
1000,117.02
999,99.72
998,93.69
997,87.04
996,81.7
995,79.7
994,82.69
993,92.34
992,100.98
991,99.33000000000001
990,96.0
989,93.35
988,88.02000000000001
987,89.02
986,95.7
985,104.69
984,112.69000000000001
983,100.7
982,99.01
981,103.98
980,113.63000000000001
979,118.28000000000002
978,121.27
977,132.91
976,144.56
975,140.56
974,148.19
973,171.84
972,194.78000000000003
971,209.95999999999998
970,220.7
969,245.39000000000004
968,258.68
967,328.53000000000003
966,366.4
965,474.55000000000007
964,592.67
963,685.5400000000001
962,731.4300000000001
961,753.8100000000002
960,754.6300000000001
959,765.06
958,767.34
957,649.4600000000002
956,402.98
955,267.13000000000005
954,223.31
953,211.84
952,182.75
951,164.85
950,159.15000000000003
949,157.12000000000003
948,148.78
947,127.55000000000001
946,125.63000000000001
945,133.73000000000002
944,132.81
943,137.10000000000002
942,127.48
941,133.5
940,146.89000000000001
939,140.28
938,107.0
937,79.72000000000001
936,72.75
935,62.81
934,66.81
933,74.82
932,68.52000000000001
931,50.13
930,39.800000000000004
929,40.800000000000004
928,40.150000000000006
927,50.82
926,47.49
925,46.82000000000001
924,43.49000000000001
923,42.16
922,41.150000000000006
921,37.81
920,36.47
919,36.160000000000004
918,47.83
917,53.48
916,45.48
915,48.16
914,62.81
913,70.47
912,67.81
911,68.16
910,66.82000000000001
909,65.84
908,56.52000000000001
907,46.52
906,49.49
905,61.81
904,76.47000000000001
903,68.49000000000001
902,65.14
901,60.14
900,50.480000000000004
899,45.480000000000004
898,40.47
897,39.45
896,39.11
895,45.480000000000004
894,45.160000000000004
893,45.83
892,47.160000000000004
891,46.160000000000004
890,47.809999999999995
889,49.47
888,48.8
887,62.81
886,62.129999999999995
885,68.13
