pixel,intensity
1293,4.0
1292,3.0
1291,0.0
1290,0.0
1289,0.0
1288,0.0
1287,8.45694980474639
1286,8.45694980474639
1285,8.45694980474639
1284,8.45694980474639
1283,11.839729726644943
1282,11.839729726644943
1281,11.839729726644943
1280,11.839729726644943
1279,8.45694980474639
1278,8.45694980474639
1277,8.45694980474639
1276,8.45694980474639
1275,0.0
1274,0.0
1273,0.0
1272,0.0
1271,0.0
1270,0.0
1269,0.0
1268,0.0
1267,3.382779921898556
1266,3.382779921898556
1265,3.382779921898556
1264,3.382779921898556
1263,4.0
1262,4.691389960949278
1261,2.5370849414239167
1260,3.382779921898556
1259,3.382779921898556
1258,4.228474902373195
1257,7.674886027491769
1256,9.387486389514386
1255,10.994034746170305
1254,11.839729726644943
1253,11.839729726644943
1252,11.839729726644943
1251,11.839729726644943
1250,11.839729726644943
1249,11.839729726644943
1248,11.839729726644943
1247,3.382779921898556
1246,3.382779921898556
1245,3.382779921898556
1244,3.382779921898556
1243,3.382779921898556
1242,3.382779921898556
1241,3.382779921898556
1240,3.382779921898556
1239,0.0
1238,0.0
1237,0.0
1236,4.0
1235,4.0
1234,0.0
1233,0.0
1232,0.0
1231,10.190760567842347
1230,10.190760567842347
1229,9.323855186294368
1228,1.0
1227,0.0
1226,0.0
1225,0.0
1224,0.0
1223,3.0
1222,4.0
1221,6.0
1220,12.45694980474639
1219,8.45694980474639
1218,8.45694980474639
1217,8.45694980474639
1216,19.222509648543504
1215,15.307351252836856
1214,15.307351252836856
1213,11.839729726644943
1212,11.839729726644943
1211,3.382779921898556
1210,3.382779921898556
1209,3.382779921898556
1208,3.382779921898556
1207,3.382779921898556
1206,3.382779921898556
1205,3.382779921898556
1204,3.382779921898556
1203,4.249685303446534
1202,5.116590684994513
1201,5.116590684994513
1200,5.116590684994513
1199,6.765559843797113
1198,6.765559843797113
1197,6.765559843797113
1196,6.765559843797113
1195,6.382779921898556
1194,7.382779921898556
1193,7.382779921898556
1192,7.382779921898556
1191,6.116590684994513
1190,11.61473931296495
1189,16.427127434066854
1188,17.463480045352274
1187,15.622248851139098
1186,12.021532706495163
1185,12.888438088043143
1184,14.809884043001299
1183,8.0
1182,9.0
1181,9.0
1180,8.0
1179,6.0
1178,4.0
1177,2.0
1176,2.0
1175,9.0
1174,9.0
1173,11.425200724045235
1172,14.53618526792311
1171,14.53618526792311
1170,13.61473931296495
1169,12.771847403048628
1168,11.85040144809047
1167,20.71483525193947
1166,18.763455980269697
1165,14.043655583282032
1164,12.309844820186076
1163,1.9264475077198444
