principal component 1,principal component 2,target
10.62697263012097,1.8465170073366717,R
20.87237693837814,5.354767907016228,R
13.53211637118088,-2.3086257375182337,R
21.66276468121223,2.580566116161574,R
24.05330261189882,4.9705328047719455,R
19.660433357620278,1.5175189331294447,R
21.56958693690524,2.557019151737501,R
-7.971425687258204,5.82669908541828,G
-13.581458554533592,6.895668148640533,G
-11.514136429950943,7.359296316852003,G
-16.00642239921794,8.38628854853089,G
-12.00997377422279,9.477363545906849,G
-15.857152910153523,9.09472622047228,G
-7.869344145395193,9.082860904398153,G
-12.605908896552478,10.828114491746462,G
-13.171506736806908,11.23235672659016,G
-16.40858330859802,9.981778583954034,G
-7.754984670554573,8.566449350239722,G
-12.074788034216631,14.32698516032184,G
-12.635203146614941,11.48797777492804,G
-16.534831904126523,9.63569389925384,G
-7.652914620126513,4.775200175541799,G
-11.766725250889449,4.836478048032332,G
-9.745619757343443,3.153542906392831,G
-12.89850640745414,4.241760878900614,G
-6.92865536983666,3.496066563814716,G
-8.367209258224335,4.9373185949456895,G
-8.626369107948728,3.445744070473284,G
-10.060180387254409,4.767630731899676,G
-9.508773959634283,3.1328315305194083,G
-12.403627245542763,3.4618444703792735,G
-11.086490968812234,4.135655790644478,G
-15.60827113661668,5.465979720894548,G
-7.682343131666207,4.328078426615389,G
-16.513127006709425,5.988244014801975,G
-11.012628852311863,6.1814652784277,G
-15.610868264092865,7.89625674512293,G
-7.938506968408982,9.351057561722477,G
-13.302292380418828,7.951699117882623,G
-10.162830302497367,6.152166365110616,G
-13.414233656745184,8.040932284104848,G
-18.41656329894053,1.4286314633209312,G
-20.733951977278984,2.3012363945699095,G
-16.92459906839412,5.636907439334548,G
-18.07725741612614,8.148931577505001,G
-15.867667329306443,5.8296979620651825,G
-15.224004121997446,11.34856014361814,G
-13.355426611267708,5.532977410166346,G
-14.451240078497634,11.625260552980675,G
-11.87428205243039,6.720230720267179,G
-14.629459846285151,5.968527448467736,G
-11.17386922149856,7.0418043365387355,G
-15.303483654532032,6.570203266963598,G
-9.242044856594074,10.304095315147391,G
-13.703631067449107,10.631555475758887,G
-9.27144294785322,1.5908288176570125,G
